id,name,element,hp,attack,imagePath,expReward,goldReward
slime_fire,Magma Slime,FIRE,50,10,/monsters/slime_fire.png,10,5
slime_water,Aqua Slime,AQUA,50,10,/monsters/slime_water.png,10,5
slime_nature,Moss Slime,NATURE,50,10,/monsters/slime_nature.png,10,5
wolf_fire,Flame Wolf,FIRE,120,25,/monsters/wolf_fire.png,30,15
wolf_water,Tide Wolf,AQUA,120,25,/monsters/wolf_water.png,30,15
wolf_nature,Forest Wolf,NATURE,120,25,/monsters/wolf_nature.png,30,15
boss_fire,Ifrit,FIRE,500,50,/monsters/boss_fire.png,200,100
boss_water,Leviathan,AQUA,500,50,/monsters/boss_water.png,200,100
boss_nature,Treant,NATURE,500,50,/monsters/boss_nature.png,200,100
dragon_fire,Elder Dragon,FIRE,1000,100,/monsters/dragon_fire.png,500,250
