id,name,element,weakness,hp,attack,description,unlockCondition,version,expReward,goldReward
starter_fire,ひのこ,FIRE,WATER,100,20,小さな炎の精霊,STARTER,N5,0,0
starter_water,しずく,WATER,NATURE,100,20,澄んだ水の精霊,STARTER,N5,0,0
starter_nature,このは,NATURE,FIRE,100,20,森の精霊,STARTER,N5,0,0
starter_light,ピカ,LIGHT,DARK,120,25,光の精霊,STARTER,N5,0,0
starter_dark,カゲ,DARK,LIGHT,120,25,闇の精霊,STARTER,N5,0,0
slime_fire,ファイヤースライム,FIRE,WATER,50,10,火属性のスライム。初心者向け。,None,N5,100,5
slime_water,アクアスライム,WATER,NATURE,50,10,水属性のスライム。少しタフ。,None,N5,100,5
slime_nature,モススライム,NATURE,FIRE,50,10,森のスライム。回復が得意？,None,N5,100,5
yellow_honey_bee_a,ミツバチ,NATURE,FIRE,60,15,素早い攻撃。,None,N5,150,8
yellow_honey_bee_b,ハニービー,NATURE,FIRE,65,18,集団で襲ってくる。,None,N5,150,8
cute_round_owl,丸フクロウ,NATURE,FIRE,80,20,夜行性。,None,N5,200,10
brown_forest_owl_a,森フクロウ,NATURE,FIRE,90,22,森の賢者。,None,N5,250,12
brown_forest_owl_b,フクロウ,NATURE,FIRE,85,21,静かに近づく。,None,N5,250,12
blue_droplet_ghost,しずくゴースト,WATER,NATURE,70,18,物理攻撃が効きにくい。,None,N5,200,10
blue_friendly_ghost_a,ゴースト,DARK,LIGHT,75,20,いたずら好き。,None,N5,200,10
green_flower_vine_monster_a,つるモンスター,NATURE,FIRE,100,25,絡みつく攻撃。,None,N5,300,15
green_flower_vine_monster_b,蔦モンスター,NATURE,FIRE,110,28,毒を持っているかも。,None,N5,350,18
boss_nature,トレント,NATURE,FIRE,300,40,森の守護者。強力なボス。,BOSS,N5,1000,50
wolf_fire,フレイムウルフ,FIRE,WATER,120,30,炎を纏った狼。,None,N4,400,20
wolf_water,タイドウルフ,WATER,NATURE,120,30,波を操る狼。,None,N4,400,20
wolf_nature,フォレストウルフ,NATURE,FIRE,120,30,森を駆ける狼。,None,N4,400,20
brown_bear,グリズリーベア,NATURE,FIRE,200,45,圧倒的なパワー。,None,N4,500,25
green_furry_forest_beast,フォレストビースト,NATURE,FIRE,180,40,正体不明の獣。,None,N4,450,22
brown_werewolf,ワーウルフ,NATURE,FIRE,150,35,月夜に強くなる。,None,N4,450,22
gray_stone_golem,ストーンゴーレム,NATURE,FIRE,300,20,硬い守り。,None,N4,600,30
turquoise_armor_golem,アーマーゴーレム,LIGHT,DARK,350,25,魔法が効きにくい。,None,N4,700,35
golden_gear_golem,ギアゴーレム,LIGHT,DARK,300,30,機械仕掛けの巨人。,None,N4,650,32
golden_unicorn,ユニコーン,LIGHT,DARK,250,35,神聖な一角獣。,None,N4,800,40
blue_friendly_ghost_b,おばけ,DARK,LIGHT,100,25,少し強いゴースト。,None,N4,300,15
green_flower_vine_monster_d,バインモンスター,NATURE,FIRE,150,30,強化された植物魔物。,None,N4,400,20
boss_fire,イフリート,FIRE,WATER,500,60,炎の魔人。,BOSS,N4,2000,100
red_fire_dragon,インフェルノドラゴン,FIRE,WATER,400,70,灼熱の息。,None,N3,1000,50
red_two_headed_dragon,双頭炎ドラゴン,FIRE,WATER,450,75,二回の攻撃。,None,N3,1100,55
red_winged_dragon,翼竜,FIRE,WATER,380,65,空からの急降下。,None,N3,900,45
blue_sea_dragon,シードラゴン,WATER,NATURE,400,70,深海の覇者。,None,N3,1000,50
blue_sky_dragon,スカイドラゴン,NATURE,FIRE,380,65,天を翔ける龍。,None,N3,900,45
