level,world,order,stage_type,enemy_id,enemy_level,meta_monster_id
N5,1,1,normal,slime_fire,1,frozen_mage
N5,1,2,normal,slime_water,2,mossy_wolf
N5,1,3,normal,slime_nature,3,red_spirit
N5,1,4,boss,boss_nature,5,red_phoenix
N5,2,1,normal,yellow_honey_bee_a,4,crimson_knight
N5,2,2,normal,yellow_honey_bee_b,5,blazing_demon
N5,2,3,normal,cute_round_owl,6,infernal_demon
N5,2,4,boss,boss_nature,8,infernal_dragon
N5,3,1,normal,brown_forest_owl_a,7,red_dragon
N5,3,2,normal,brown_forest_owl_b,8,blazing_spirit
N5,3,3,normal,blue_droplet_ghost,9,forest_wolf
N5,3,4,boss,boss_nature,12,crimson_knight
N5,4,1,normal,blue_friendly_ghost_a,10,golden_griffin
N5,4,2,normal,slime_fire,11,frozen_shark
N5,4,3,normal,slime_water,12,emerald_beast
N5,4,4,boss,boss_nature,15,red_dragon
N5,5,1,normal,slime_nature,13,burning_knight
N5,5,2,normal,green_flower_vine_monster_a,14,infernal_spirit
N5,5,3,normal,green_flower_vine_monster_b,15,infernal_knight
N5,5,4,boss,boss_nature,18,burning_phoenix
N4,1,1,normal,wolf_fire,15,azure_whale
N4,1,2,normal,wolf_water,16,forest_ent
N4,1,3,normal,wolf_nature,17,red_demon
N4,1,4,boss,boss_fire,20,tidal_shark
N4,2,1,normal,brown_bear,18,infernal_spirit
N4,2,2,normal,green_furry_forest_beast,19,blazing_phoenix
N4,2,3,normal,brown_werewolf,20,crimson_knight
N4,2,4,boss,boss_fire,23,frozen_whale
N4,3,1,normal,gray_stone_golem,21,burning_dragon
N4,3,2,normal,turquoise_armor_golem,22,shadow_specter
N4,3,3,normal,golden_gear_golem,23,phantom_specter
N4,3,4,boss,boss_fire,26,tidal_serpent
N4,4,1,normal,golden_unicorn,24,abyssal_assassin
N4,4,2,normal,wolf_fire,25,blue_mage
N4,4,3,normal,wolf_water,26,verdant_wolf
N4,4,4,boss,boss_fire,29,tidal_mage
N4,5,1,normal,wolf_nature,27,burning_spirit
N4,5,2,normal,green_flower_vine_monster_d,28,crimson_phoenix
N4,5,3,normal,blue_friendly_ghost_b,29,radiant_angel
N4,5,4,boss,boss_fire,32,blue_kraken
N3,1,1,normal,red_fire_dragon,30,deep_sea_serpent
N3,1,2,normal,red_two_headed_dragon,31,frozen_kraken
N3,1,3,normal,red_winged_dragon,32,azure_mage
N3,1,4,boss,dragon_fire,35,blue_kraken
N3,2,1,normal,blue_sea_dragon,33,forest_golem
N3,2,2,normal,blue_sky_dragon,34,crimson_demon
N3,2,3,normal,blue_two_headed_dragon,35,verdant_ent
N3,2,4,boss,dragon_fire,38,blue_shark
N3,3,1,normal,blue_valiant_dragon,36,forest_beast
N3,3,2,normal,purple_dragon,37,bright_unicorn
N3,3,3,normal,purple_five_headed_dragon,38,bright_paladin
N3,3,4,boss,dragon_fire,41,frozen_shark
N3,4,1,normal,red_fire_dragon,39,deep_sea_kraken
N3,4,2,normal,blue_sea_dragon,40,wild_golem
N3,4,3,normal,purple_dragon,41,bright_lion
N3,4,4,boss,dragon_fire,44,frozen_kraken
N3,5,1,normal,blue_ice_yeti,42,mossy_guardian
N3,5,2,normal,brown_werewolf,43,blazing_dragon
N3,5,3,normal,golden_gear_golem,44,cursed_bat
N3,5,4,boss,dragon_fire,50,blue_serpent
