level,stage_id,enemy_id
N5,1,slime_fire
N5,2,slime_water
N5,3,slime_nature
N5,3.5,boss_nature
N5,4,yellow_honey_bee_a
N5,5,yellow_honey_bee_b
N5,6,cute_round_owl
N5,6.5,boss_nature
N5,7,brown_forest_owl_a
N5,8,brown_forest_owl_b
N5,9,blue_droplet_ghost
N5,9.5,boss_nature
N5,10,blue_friendly_ghost_a
N5,11,slime_fire
N5,12,slime_water
N5,12.5,boss_nature
N5,13,slime_nature
N5,14,green_flower_vine_monster_a
N5,15,green_flower_vine_monster_b
N5,15.5,boss_nature
N4,1,wolf_fire
N4,2,wolf_water
N4,3,wolf_nature
N4,3.5,boss_fire
N4,4,brown_bear
N4,5,green_furry_forest_beast
N4,6,brown_werewolf
N4,6.5,boss_fire
N4,7,gray_stone_golem
N4,8,turquoise_armor_golem
N4,9,golden_gear_golem
N4,9.5,boss_fire
N4,10,golden_unicorn
N4,11,wolf_fire
N4,12,wolf_water
N4,12.5,boss_fire
N4,13,wolf_nature
N4,14,green_flower_vine_monster_d
N4,15,blue_friendly_ghost_b
N4,15.5,boss_fire
N3,1,red_fire_dragon
N3,2,red_two_headed_dragon
N3,3,red_winged_dragon
N3,3.5,dragon_fire
N3,4,blue_sea_dragon
N3,5,blue_sky_dragon
N3,6,blue_two_headed_dragon
N3,6.5,dragon_fire
N3,7,blue_valiant_dragon
N3,8,purple_dragon
N3,9,purple_five_headed_dragon
N3,9.5,dragon_fire
N3,10,red_fire_dragon
N3,11,blue_sea_dragon
N3,12,purple_dragon
N3,12.5,dragon_fire
N3,13,blue_ice_yeti
N3,14,brown_werewolf
N3,15,golden_gear_golem
N3,15.5,dragon_fire
