level,world,order,stage_type,enemy_id,enemy_level,meta_monster_id
N5,1,1,normal,slime_fire,1,frozen_mage
N5,1,2,normal,slime_water,2,green_flower_vine_monster_b
N5,1,3,normal,slime_nature,3,blazing_demon
N5,1,4,boss,blazing_demon,5,frozen_shark
N5,2,1,normal,blazing_spirit,4,blue_droplet_ghost
N5,2,2,normal,blue_droplet_ghost,5,emerald_beast
N5,2,3,normal,yellow_honey_bee_a,6,blazing_spirit
N5,2,4,boss,frozen_mage,8,forest_wolf
N5,3,1,normal,burning_knight,7,slime_water
N5,3,2,normal,frozen_shark,8,mossy_wolf
N5,3,3,normal,yellow_honey_bee_b,9,burning_knight
N5,3,4,boss,boss_nature,12,burning_phoenix
N5,4,1,normal,burning_phoenix,10,frozen_mage
N5,4,2,normal,slime_water,11,green_flower_vine_monster_a
N5,4,3,normal,cute_round_owl,12,night_cat
N5,4,4,boss,golden_griffin,15,night_cat
N5,5,1,normal,crimson_knight,13,frozen_shark
N5,5,2,normal,blue_droplet_ghost,14,brown_forest_owl_a
N5,5,3,normal,brown_forest_owl_b,15,light_rabbit
N5,5,4,boss,blue_friendly_ghost_a,18,light_rabbit
N4,1,1,normal,blazing_phoenix,15,wolf_water
N4,1,2,normal,azure_whale,16,gray_stone_golem
N4,1,3,normal,forest_ent,17,wolf_fire
N4,1,4,boss,boss_fire,20,azure_whale
N4,2,1,normal,burning_dragon,18,blue_kraken
N4,2,2,normal,blue_kraken,19,brown_bear
N4,2,3,normal,verdant_wolf,20,blazing_phoenix
N4,2,4,boss,wolf_water,23,green_furry_forest_beast
N4,3,1,normal,burning_spirit,21,blue_mage
N4,3,2,normal,blue_mage,22,brown_werewolf
N4,3,3,normal,wolf_nature,23,burning_dragon
N4,3,4,boss,gray_stone_golem,26,burning_spirit
N4,4,1,normal,crimson_phoenix,24,deep_sea_kraken_3_4
N4,4,2,normal,deep_sea_kraken_3_4,25,green_flower_vine_monster_d
N4,4,3,normal,green_flower_vine_monster_d,26,abyssal_assassin
N4,4,4,boss,turquoise_armor_golem,29,abyssal_assassin
N4,5,1,normal,red_demon,27,deep_sea_mage_1_4
N4,5,2,normal,deep_sea_mage_1_4,28,wolf_nature
N4,5,3,normal,brown_werewolf,29,radiant_angel
N4,5,4,boss,abyssal_assassin,32,turquoise_armor_golem
N3,1,1,normal,blazing_dragon,30,blue_valiant_dragon
N3,1,2,normal,azure_mage,31,blue_sky_dragon
N3,1,3,normal,forest_beast,32,red_two_headed_dragon
N3,1,4,boss,dragon_fire,35,blue_two_headed_dragon
N3,2,1,normal,crimson_demon,33,blue_sea_dragon
N3,2,2,normal,blue_serpent,34,forest_beast
N3,2,3,normal,forest_golem,35,red_fire_dragon
N3,2,4,boss,blue_valiant_dragon,38,forest_golem
N3,3,1,normal,red_winged_dragon,36,blue_ice_yeti
N3,3,2,normal,blue_shark,37,mossy_guardian
N3,3,3,normal,mossy_guardian,38,red_winged_dragon
N3,3,4,boss,blue_sky_dragon,41,blazing_dragon
N3,4,1,normal,red_fire_dragon,39,azure_mage
N3,4,2,normal,deep_sea_kraken,40,verdant_ent
N3,4,3,normal,verdant_ent,41,cursed_bat
N3,4,4,boss,bright_lion,44,purple_five_headed_dragon
N3,5,1,normal,red_two_headed_dragon,42,blue_serpent
N3,5,2,normal,deep_sea_serpent,43,wild_golem
N3,5,3,normal,wild_golem,44,bright_paladin
N3,5,4,boss,purple_five_headed_dragon,50,bright_lion
